dteday,yr,hr,cnt
2011-01-01,0,0,16
2011-01-01,0,1,40
2011-01-01,0,2,32
2011-01-01,0,3,13
2011-01-01,0,4,1
2011-01-01,0,5,1
2011-01-01,0,6,2
2011-01-01,0,7,3
2011-01-01,0,8,8
2011-01-01,0,9,14
2011-01-01,0,10,36
2011-01-01,0,11,56
2011-01-01,0,12,84
2011-01-01,0,13,94
2011-01-01,0,14,106
2011-01-01,0,15,110
2011-01-01,0,16,93
2011-01-01,0,17,67
2011-01-01,0,18,35
2011-01-01,0,19,37
2011-01-01,0,20,36
2011-01-01,0,21,34
2011-01-01,0,22,28
2011-01-01,0,23,39
2011-01-02,0,0,17
2011-01-02,0,1,17
2011-01-02,0,2,9
2011-01-02,0,3,6
2011-01-02,0,4,3
2011-01-02,0,6,2
2011-01-02,0,7,1
2011-01-02,0,8,8
2011-01-02,0,9,20
2011-01-02,0,10,53
2011-01-02,0,11,70
2011-01-02,0,12,93
2011-01-02,0,13,75
2011-01-02,0,14,59
2011-01-02,0,15,74
2011-01-02,0,16,76
2011-01-02,0,17,65
2011-01-02,0,18,53
2011-01-02,0,19,30
2011-01-02,0,20,22
2011-01-02,0,21,31
2011-01-02,0,22,9
2011-01-02,0,23,8
2011-01-03,0,0,5
2011-01-03,0,1,2
2011-01-03,0,4,1
2011-01-03,0,5,3
2011-01-03,0,6,30
2011-01-03,0,7,64
2011-01-03,0,8,154
2011-01-03,0,9,88
2011-01-03,0,10,44
2011-01-03,0,11,51
2011-01-03,0,12,61
2011-01-03,0,13,61
2011-01-03,0,14,77
2011-01-03,0,15,72
2011-01-03,0,16,76
2011-01-03,0,17,157
2011-01-03,0,18,157
2011-01-03,0,19,110
2011-01-03,0,20,52
2011-01-03,0,21,52
2011-01-03,0,22,20
2011-01-03,0,23,12
2011-01-04,0,0,5
2011-01-04,0,1,2
2011-01-04,0,2,1
2011-01-04,0,4,2
2011-01-04,0,5,4
2011-01-04,0,6,36
2011-01-04,0,7,94
2011-01-04,0,8,179
2011-01-04,0,9,100
2011-01-04,0,10,42
2011-01-04,0,11,57
2011-01-04,0,12,78
2011-01-04,0,13,97
2011-01-04,0,14,63
2011-01-04,0,15,65
2011-01-04,0,16,83
2011-01-04,0,17,212
2011-01-04,0,18,182
2011-01-04,0,19,112
2011-01-04,0,20,54
2011-01-04,0,21,48
2011-01-04,0,22,35
2011-01-04,0,23,11
2011-01-05,0,0,6
2011-01-05,0,1,6
2011-01-05,0,2,2
2011-01-05,0,4,2
2011-01-05,0,5,3
2011-01-05,0,6,33
2011-01-05,0,7,88
2011-01-05,0,8,195
2011-01-05,0,9,115
2011-01-05,0,10,57
2011-01-05,0,11,46
2011-01-05,0,12,79
2011-01-05,0,13,71
2011-01-05,0,14,62
2011-01-05,0,15,62
2011-01-05,0,16,89
2011-01-05,0,17,190
2011-01-05,0,18,169
2011-01-05,0,19,132
2011-01-05,0,20,89
2011-01-05,0,21,43
2011-01-05,0,22,42
2011-01-05,0,23,19
2011-01-06,0,0,11
2011-01-06,0,1,4
2011-01-06,0,2,2
2011-01-06,0,4,1
2011-01-06,0,5,4
2011-01-06,0,6,36
2011-01-06,0,7,95
2011-01-06,0,8,219
2011-01-06,0,9,122
2011-01-06,0,10,45
2011-01-06,0,11,59
2011-01-06,0,12,84
2011-01-06,0,13,67
2011-01-06,0,14,70
2011-01-06,0,15,62
2011-01-06,0,16,86
2011-01-06,0,17,172
2011-01-06,0,18,163
2011-01-06,0,19,112
2011-01-06,0,20,69
2011-01-06,0,21,48
2011-01-06,0,22,52
2011-01-06,0,23,23
2011-01-07,0,0,17
2011-01-07,0,1,7
2011-01-07,0,2,1
2011-01-07,0,4,1
2011-01-07,0,5,5
2011-01-07,0,6,34
2011-01-07,0,7,84
2011-01-07,0,8,210
2011-01-07,0,9,134
2011-01-07,0,10,63
2011-01-07,0,11,67
2011-01-07,0,12,59
2011-01-07,0,13,73
2011-01-07,0,14,50
2011-01-07,0,15,72
2011-01-07,0,16,87
2011-01-07,0,17,187
2011-01-07,0,18,123
2011-01-07,0,19,95
2011-01-07,0,20,51
2011-01-07,0,21,39
2011-01-07,0,22,36
2011-01-07,0,23,15
2011-01-08,0,0,25
2011-01-08,0,1,16
2011-01-08,0,2,16
2011-01-08,0,3,7
2011-01-08,0,4,1
2011-01-08,0,5,5
2011-01-08,0,6,2
2011-01-08,0,7,9
2011-01-08,0,8,15
2011-01-08,0,9,20
2011-01-08,0,10,61
2011-01-08,0,11,62
2011-01-08,0,12,98
2011-01-08,0,13,102
2011-01-08,0,14,95
2011-01-08,0,15,74
2011-01-08,0,16,76
2011-01-08,0,17,69
2011-01-08,0,18,55
2011-01-08,0,19,30
2011-01-08,0,20,28
2011-01-08,0,21,37
2011-01-08,0,22,34
2011-01-08,0,23,22
2011-01-09,0,0,25
2011-01-09,0,1,12
2011-01-09,0,2,11
2011-01-09,0,3,4
2011-01-09,0,4,1
2011-01-09,0,5,1
2011-01-09,0,6,1
2011-01-09,0,7,6
2011-01-09,0,8,10
2011-01-09,0,9,19
2011-01-09,0,10,49
2011-01-09,0,11,49
2011-01-09,0,12,83
2011-01-09,0,13,75
2011-01-09,0,14,72
2011-01-09,0,15,82
2011-01-09,0,16,92
2011-01-09,0,17,62
2011-01-09,0,18,48
2011-01-09,0,19,41
2011-01-09,0,20,38
2011-01-09,0,21,20
2011-01-09,0,22,15
2011-01-09,0,23,6
2011-01-10,0,0,5
2011-01-10,0,1,1
